code,name,name_ascii,state
OQU,Aaron,Aaron,GA
AA7,Aaronsburg,Aaronsburg,PA
ABB,Abbeville,Abbeville,AL
UAB,Abbeville,Abbeville,LA
AV4,Abbeville,Abbeville,MS
ABF,Abbeville,Abbeville,SC
A8B,Abbot,Abbot,ME
ABD,Abbotsford,Abbotsford,WI
9AB,Abbott,Abbott,TX
ABJ,Abbott Park,Abbott Park,IL
AQW,Abbottstown,Abbottstown,PA
A4B,Abbyville,Abbyville,KS
AC8,Abercrombie,Abercrombie,ND
APD,Aberdeen,Aberdeen,ID
ABK,Aberdeen,Aberdeen,KY
APG,Aberdeen,Aberdeen,MD
AEK,Aberdeen,Aberdeen,MS
UAE,Aberdeen,Aberdeen,NC
AB3,Aberdeen,Aberdeen,NJ
AHD,Aberdeen,Aberdeen,OH
XBA,Aberdeen,Aberdeen,SC
ABR,Aberdeen,Aberdeen,SD
GHR,Aberdeen,Aberdeen,WA
AN7,Aberdin,Aberdin,NC
UAF,Abernathy,Abernathy,TX
ABZ,Abilene,Abilene,KS
ABI,Abilene,Abilene,TX
ABG,Abingdon,Abingdon,IL
NGD,Abingdon,Abingdon,MD
VJI,Abingdon,Abingdon,VA
UUM,Abington,Abington,MA
AP3,Abington,Abington,PA
AQ2,Abiquiu,Abiquiu,NM
TPG,Abita Springs,Abita Springs,LA
QYA,Abrams,Abrams,WI
ACX,Absecon,Absecon,NJ
AA4,Acampo,Acampo,CA
AJT,Accident,Accident,MD
JOK,Accokeek,Accokeek,MD
AQC,Accomac,Accomac,VA
A8C,Accord,Accord,MA
AC9,Accord,Accord,NY
ACR,Ackerman,Ackerman,GA
UAG,Ackerman,Ackerman,MS
AKY,Ackley,Ackley,IA
DMF,Acme,Acme,MI
QZA,Acme,Acme,WA
QCA,Acra,Acra,NY
AXJ,Acton,Acton,CA
T5C,Acton,Acton,IN
UAH,Acton,Acton,MA
8ON,Acton,Acton,ME
TZO,Acton,Acton,TX
KUS,Acushnet,Acushnet,MA
AWR,Acworth,Acworth,GA
6WT,Acworth,Acworth,NH
ADZ,Ada,Ada,MI
DD2,Ada,Ada,MN
AJJ,Ada,Ada,OH
ADT,Ada,Ada,OK
A59,Adair,Adair,IA
2AR,Adair,Adair,OK
ADV,Adairsville,Adairsville,GA
AD3,Adairville,Adairville,KY
AXK,Adak,Adak,AK
ADK,Adak Island/Adak Apt,Adak Island/Adak Apt,AK
UAN,Adams,Adams,MA
UAT,Adams,Adams,OR
AKM,Adams,Adams,TN
AZM,Adams,Adams,WI
ADH,Adams Center,Adams Center,NY
YP2,Adams City,Adams City,CO
UAJ,Adams Run,Adams Run,SC
DST,Adamston,Adamston,WV
AN6,Adamstown,Adamstown,MD
AEJ,Adamstown,Adamstown,PA
6LA,Adamsville,Adamsville,AL
UAM,Adamsville,Adamsville,TN
ADD,Addis,Addis,LA
ADS,Addison,Addison,AL
UAP,Addison,Addison,IL
IAB,Addison,Addison,ME
YAI,Addison,Addison,MI
XDS,Addison,Addison,NY
ADX,Addison,Addison,OH
QDS,Addison,Addison,PA
DDX,Addison,Addison,TX
UAS,Addyston,Addyston,OH
ADE,Adel,Adel,GA
ZAE,Adel,Adel,IA
ADU,Adelanto,Adelanto,CA
AJD,Adell,Adell,WI
A9D,Adelphi,Adelphi,MD
AHP,Adelphia,Adelphia,NJ
AGE,Adger,Adger,AL
RZU,Adkins,Adkins,TX
ADG,Adrian,Adrian,MI
AI4,Adrian,Adrian,MN
AQA,Adrian,Adrian,OH
UAO,Adrian,Adrian,OR
AD9,Adrian,Adrian,PA
5AN,Adrian,Adrian,TX
DIA,Adrian,Adrian,WI
AR8,Adrian,Adrian,WV
A2D,Advance,Advance,IN
AVX,Advance,Advance,MO
UAR,Advance,Advance,NC
AFF,Affton,Affton,MO
AFK,Afognak,Afognak,AK
AF5,Afton,Afton,IA
AF9,Afton,Afton,MI
FJT,Afton,Afton,MN
AS7,Afton,Afton,OK
AFT,Afton,Afton,TN
AFQ,Afton,Afton,VA
AFO,Afton,Afton,WY
XBL,Agawam,Agawam,MA
UAX,Agoura,Agoura,CA
AGH,Agoura Hills,Agoura Hills,CA
A2G,Agua Dulce,Agua Dulce,CA
T7X,Agua Dulce,Agua Dulce,TX
GKG,Aguanga,Aguanga,CA
AHE,Ahoskie,Ahoskie,NC
AH2,Ahsahka,Ahsahka,ID
AIE,Aiea (Oahu),Aiea (Oahu),HI
AIK,Aiken,Aiken,SC
YAY,Ailey,Ailey,GA
AW2,Ainsworth,Ainsworth,NE
A2M,Airmont,Airmont,NY
AYH,Airway Heights,Airway Heights,WA
KN9,Aitkin,Aitkin,MN
AJ9,Ajo,Ajo,AZ
AKQ,Akers,Akers,LA
AKK,Akhiok,Akhiok,AK
KKI,Akiachak,Akiachak,AK
AKI,Akiak,Akiak,AK
AKO,Akron,Akron,CO
AK5,Akron,Akron,IA
AKC,Akron,Akron,IN
AKA,Akron,Akron,MI
AKR,Akron,Akron,NY
AKH,Akron,Akron,OH
ARN,Akron,Akron,PA
KQA,Akutan,Akutan,AK
A9L,Alabama,Alabama,NY
ZAC,Alabama City,Alabama City,AL
AA2,Alabama Pt.,Alabama Pt.,AL
LBA,Alabaster,Alabaster,AL
AHU,Alachua,Alachua,FL
DNJ,Aladdin,Aladdin,WY
AUK,Alakanuk,Alakanuk,AK
AMC,Alamance,Alamance,NC
NGZ,Alameda,Alameda,CA
UBB,Alamo,Alamo,CA
AM8,Alamo,Alamo,NV
AMT,Alamo,Alamo,TN
AMO,Alamo,Alamo,TX
ALM,Alamogordo,Alamogordo,NM
ALS,Alamosa,Alamosa,CO
YAN,Alanson,Alanson,MI
TLB,Alba,Alba,MI
XAB,Alba,Alba,TX
ALA,Albany,Albany,CA
ABY,Albany,Albany,GA
AJB,Albany,Albany,IL
AB5,Albany,Albany,IN
AY9,Albany,Albany,KY
A7Y,Albany,Albany,LA
AL2,Albany,Albany,MN
5BN,Albany,Albany,MO
ALB,Albany,Albany,NY
UBA,Albany,Albany,OH
AYK,Albany,Albany,OR
UBE,Albany,Albany,TX
AYX,Albany,Albany,VT
AYW,Albany,Albany,WI
AB2,Albany,Albany,WY
CVO,Albany-Corvallis Apt,Albany-Corvallis Apt,OR
UAD,Albemarle,Albemarle,NC
LXR,Albers,Albers,IL
AEL,Albert Lea,Albert Lea,MN
A8A,Alberta,Alberta,AL
OBQ,Albertson,Albertson,NY
ABV,Albertville,Albertville,AL
ALV,Albertville,Albertville,MN
AL6,Albia,Albia,IA
AQI,Albin,Albin,WY
AB7,Albion,Albion,IA
AN5,Albion,Albion,ID
AOB,Albion,Albion,IL
YAB,Albion,Albion,IN
AO7,Albion,Albion,ME
AOX,Albion,Albion,MI
AB8,Albion,Albion,NE
AON,Albion,Albion,NY
AB4,Albion (Erie County),Albion (Erie County),PA
AO9,Alborn,Alborn,MN
QQE,Albright,Albright,WV
AB6,Albrightsville,Albrightsville,PA
ABQ,Albuquerque,Albuquerque,NM
ALR,Alburg,Alburg,VT
EUZ,Alburnett,Alburnett,IA
ALU,Alburtis,Alburtis,PA
AC5,Alcade,Alcade,NM
XAC,Alcalde,Alcalde,NM
ZAK,Alcan,Alcan,AK
ALJ,Alcester,Alcester,SD
ACO,Alcoa,Alcoa,TN
AD4,Alda,Alda,NE
2AD,Aldan,Aldan,PA
EDH,Alden,Alden,IA
DNF,Alden,Alden,MN
YLF,Alden,Alden,NY
A75,Alder,Alder,MT
AL7,Aldie,Aldie,VA
AD8,Aldine,Aldine,TX
AD5,Aledo,Aledo,IL
AQD,Aledo,Aledo,TX
WKK,Aleknagik,Aleknagik,AK
AED,Aleneva,Aleneva,AK
YAX,Alexander,Alexander,AR
AEX,Alexander,Alexander,IA
ZXA,Alexander,Alexander,IL
AKX,Alexander,Alexander,ND
A37,Alexander,Alexander,NY
ALX,Alexander City,Alexander City,AL
AXD,Alexandria,Alexandria,IN
AXP,Alexandria,Alexandria,KY
ESF,Alexandria,Alexandria,LA
AXN,Alexandria,Alexandria,MN
AXY,Alexandria,Alexandria,MO
AZ4,Alexandria,Alexandria,OH
AXA,Alexandria,Alexandria,PA
XAA,Alexandria,Alexandria,TN
AXR,Alexandria,Alexandria,VA
AXB,Alexandria Bay,Alexandria Bay,NY
LEV,Alexis,Alexis,IL
5G3,Alexis,Alexis,NC
A74,Alford,Alford,MA
AFE,Alfred,Alfred,ME
QAF,Alfred,Alfred,NY
AFS,Alfred Station,Alfred Station,NY
AQG,Alger,Alger,MI
AJE,Alger,Alger,OH
UAY,Algiers,Algiers,LA
QGD,Algodones,Algodones,NM
AMZ,Algoma,Algoma,MS
QAG,Algoma,Algoma,WI
AXG,Algona,Algona,IA
UBJ,Algona,Algona,WA
ALG,Algonac,Algonac,MI
AGQ,Algonquin,Algonquin,IL
YAG,Algood,Algood,TN
ALH,Alhambra,Alhambra,CA
ALI,Alice,Alice,TX
AIV,Aliceville,Aliceville,AL
ACA,Alicia,Alicia,MI
3AF,Alief,Alief,TX
AQP,Aliquippa,Aliquippa,PA
AVJ,Aliso Viejo,Aliso Viejo,CA
ALZ,Alitak,Alitak,AK
AET,Allakaket,Allakaket,AK
UOY,Allamuchy,Allamuchy,NJ
A3A,Alledonia,Alledonia,OH
ALL,Allegan,Allegan,MI
NYZ,Allegany,Allegany,NY
UBP,Allegheny,Allegheny,PA
AG3,Allegheny County Apt/Pittsburgh,Allegheny County Apt/Pittsburgh,PA
AQ9,Allen,Allen,KY
AN2,Allen,Allen,MI
A3N,Allen,Allen,OK
XAL,Allen,Allen,TX
APK,Allen Park,Allen Park,MI
GKE,Allendale,Allendale,MI
UAZ,Allendale,Allendale,NJ
EDL,Allendale,Allendale,SC
NUS,Allenhurst,Allenhurst,NJ
AJP,Allenport,Allenport,PA
ATX,Allenstown,Allenstown,NH
A4V,Allensville,Allensville,PA
AWF,Allensworth,Allensworth,CA
QWU,Allenton,Allenton,NC
ZAG,Allenton,Allenton,WI
AEW,Allentown,Allentown,NJ
AWN,Allentown,Allentown,PA
AT2,"Allentown, Allegany","Allentown, Allegany",NY
AWO,Allenwood,Allenwood,NJ
AZW,Allenwood,Allenwood,PA
ALT,Allerton,Allerton,IA
9AT,Alleyton,Alleyton,TX
AL3,Alliance,Alliance,LA
AIA,Alliance,Alliance,NE
AIH,Alliance,Alliance,OH
IXS,Allison,Allison,TX
ALK,Allison Park,Allison Park,PA
AOY,Alloy,Alloy,WV
XBE,Allston,Allston,MA
AY3,Allyn,Allyn,WA
RAA,Alma,Alma,AR
AM2,Alma,Alma,CO
AMQ,Alma,Alma,GA
AM6,Alma,Alma,KS
AMN,Alma,Alma,MI
XAM,Alma,Alma,WI
N6A,Almena,Almena,WI
AO5,Almond,Almond,WI
ATJ,Almont,Almont,MI
8AL,Alna,Alna,ME
AHA,Aloha,Aloha,OR
ZON,Alorton,Alorton,IL
A3P,Alpaugh,Alpaugh,CA
APN,Alpena,Alpena,MI
A4P,Alpena,Alpena,SD
AJQ,Alpha,Alpha,IL
APA,Alpha,Alpha,NJ
ALP,Alpha,Alpha,OH
AAI,Alpharetta,Alpharetta,GA
APL,Alpine,Alpine,AL
APY,Alpine,Alpine,NJ
ALE,Alpine,Alpine,TX
AP2,Alpine,Alpine,UT
AP5,Alpine,Alpine,WY
AWU,Alpine Meadows,Alpine Meadows,CA
ZJI,"Alpine, Los Angeles","Alpine, Los Angeles",CA
JIN,"Alpine, San Diego","Alpine, San Diego",CA
AEN,Alsen,Alsen,NY
AY4,Alsey,Alsey,IL
UBC,Alsip,Alsip,IL
AFA,Alstead,Alstead,NH
AJL,Alta,Alta,CA
W82,Alta,Alta,IA
XBO,Alta,Alta,UT
TUU,Alta,Alta,WY
TAJ,Alta Loma,Alta Loma,CA
AJM,Alta Loma,Alta Loma,TX
AV3,Alta Vista,Alta Vista,KS
AZA,Altadena,Altadena,CA
UBD,Altamahaw,Altamahaw,NC
AZN,Altamont,Altamont,IL
A7L,Altamont,Altamont,KS
ZTM,Altamont,Altamont,NY
AM7,Altamont,Altamont,TN
TMO,Altamont,Altamont,UT
ASP,Altamonte Springs,Altamonte Springs,FL
PSQ,Altapass,Altapass,NC
ATV,Altavista,Altavista,VA
GUA,Altenburg,Altenburg,MO
A7H,Altha,Altha,FL
TMR,Altheimer,Altheimer,AR
AOQ,Alto,Alto,GA
AO2,Alto,Alto,MI
YW9,Alto,Alto,TX
ALN,Alton,Alton,IL
A4L,Alton,Alton,MO
KLQ,Alton,Alton,NY
ONB,Alton,Alton,VA
A7B,Alton Bay,Alton Bay,NH
AZQ,Altoona,Altoona,FL
NOF,Altoona,Altoona,IA
AOO,Altoona,Altoona,PA
AZP,Altoona,Altoona,WI
AXU,Altura,Altura,MN
